                                                                                                                                                 
                  
 39      714.0000      155.1910      1.000000      600.0000      4137.657      7.382840      1.671180   0.004766197  3.813509E20  1.594914E19     0.2391044      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.867449E20
 40      714.0000      156.1910      1.000000      600.0000      4138.257      9.677025      1.671567   0.006247272   1.366990E19  1.739861E19      0.7856892      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.374361E20
 41      714.0000      157.1910      1.000000      600.0000      4137.662      9.176420      1.671182   0.005924093   1.032509E19  1.835599E19      0.5624917      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.184113E20
 42      714.0000      158.1910      1.000000      600.0000      4138.959      7.740282      1.672020   0.004996954   1.222442E20  1.735330E19     0.07044436      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.185804E20
 43      714.0000      159.1910      1.000000      598.0000      4134.946      9.508727      1.669430   0.006138623   2.609919E20  1.702300E19      0.1533172      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.311881E20
 44      714.0000      160.1910      1.000000      600.0000      4138.223      11.23430      1.671545   0.007252614  1.616661E20  1.637100E19    0.09875150      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.236700E20
 45      714.0000      161.1910      1.000000      600.0000      4139.081      11.85139      1.672098   0.007650991  1.189187E20  1.677641E19    0.07088447      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.089115E20
 46      714.0000      162.1910      1.000000      599.0000      4137.220      7.514521      1.670897   0.004851208  4.960672E20  1.772571E19     0.2798574      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.503910E20
 47      714.0000      163.1910      1.000000      599.0000      4136.467      4.747466      1.670411   0.003064859  5.323981E20  1.658907E19     0.3209330      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.648292E20
 48      714.0000      164.1910      1.000000      599.0000      4136.003      12.57004      1.670112   0.008114940   7.479450E20  1.694857E19      0.4413028      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.582383E20
 49      714.0000      165.1910      1.000000      600.0000      4137.914      10.98629      1.671345   0.007092508   1.191841E20  1.608967E19     0.07407493      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.080511E20
 50      714.0000      166.1910      1.000000      600.0000      4137.492      7.852592      1.671073   0.005069459   5.053423E20  1.607561E19      0.3143534      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.101383E20
 51      714.0000      167.1910      1.000000      600.0000      4137.877      7.890007      1.671322   0.005093614  9.187955E20  1.614835E19     0.5689717      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  5.181386E20
 52      714.0000      168.1910      1.000000      601.0000      4140.032      1.158967      1.672713  0.0007482032  1.616905E20  1.791819E19    0.09023818      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.756267E20
 53      714.0000      169.1910      1.000000      599.0000      4136.013      10.01514      1.670118   0.006465552   5.190750E20  1.758501E19      0.2951803      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.276513E20
 54      714.0000      170.1910      1.000000      601.0000      4141.665      4.994441      1.673767   0.003224300   2.828372E20  1.573703E19      0.1797272      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  5.550779E20
 55      714.0000      171.1910      1.000000      599.0000      4137.276      9.443429      1.670933   0.006096468  5.577785E20  1.641484E19     0.3398014      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.257265E20
 56      714.0000      172.1910      1.000000      598.0000      4133.693      10.28870      1.668621   0.006642158   6.242060E21  1.621739E19     0.03848992      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.266058E20
 57      714.0000      173.1910      1.000000      597.0000      4131.968      8.104724      1.667507   0.005232230   3.949652E20  1.594972E19      0.2476314      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  5.386925E20
 58      714.0000      174.1910      1.000000      599.0000      4136.852      6.863968      1.670660   0.004431225  1.136494E20  1.488959E19    0.07632812      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.049801E20
 59      714.0000      175.1910      1.000000      598.0000      4135.208      7.200468      1.669598   0.004648462   1.353791E19  1.635919E19      0.8275415      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  5.265158E20
 60      714.0000      176.1910      1.000000      600.0000      4138.034      5.928166      1.671423   0.003827092   1.523581E19  1.637597E19      0.9303759      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.430686E20
 61      714.0000      177.1910      1.000000      600.0000      4138.745      8.475567      1.671882   0.005471638   7.780549E20  1.686096E19      0.4614536      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.516475E20
 62      714.0000      178.1910      1.000000      599.0000      4135.568      5.305819      1.669831   0.003425319  7.832190E21  1.529680E19    0.05120150      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  5.516811E20
 63      714.0000      179.1910      1.000000      598.0000      4134.860      5.056375      1.669374   0.003264283   1.693734E19  1.667369E19       1.015812      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  5.894978E20
 64      714.0000      180.1910      1.000000      599.0000      4137.384      3.921848      1.671003   0.002531858   2.814244E19  1.690090E19       1.665145      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.575953E20
